job_title,company_name,rating,experience,salary,location,job_description,skills
Cloud Computing DevOps Engineer,Near Shore Resources,None,8-13 Yrs,Not disclosed,Hyderabad,"Qualifications: . Education: Bachelors degree in Computer Science, Engineering, or a re...","Jenkins,Azure Cloud,Google Cloud Platforms,Devops,Kubernetes,Docker,Docker Container,Gitlab"
Enterprise Architect - Cloud & Compute,Diageo,4.1,3-5 Yrs,Not disclosed,Bengaluru," The ""Enterprise Architect - Cloud & Compute "" role will report into the Enterprise Arc...","Automation,cloud security,Architecture,Enterprise architecture,IT strategy,Enterprise Architect,Cloud,SEZ"
"Project Manager, Cloud Compute &  Collaboration",Alstom Transportation,3.8,8-12 Yrs,Not disclosed,Bengaluru,"Job Summary: Responsible for planning, executing, and finalizing projects within the Cl...","Cloud,Project Execution,PMP,network infrastructure,Project Management,data center management,ITIL,cloud computing"
Cloud Migration Engineer,Accenture,4.0,5-10 Yrs,Not disclosed,Bengaluru,Project Role :Cloud Migration EngineerProject Role Description :Provides assessment of ...,"cloud security,cloud migration,microsoft azure,microsoft azure architecture,docker,c#,kubernetes,css"
Cloud Computing Intern,Cloud Counselage,3.9,0-2 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","   Cloud Counselage Pvt. Ltd. are looking for Interns, with an interest in Cloud Comput...","Cloud computing,CVS,Technical management,MIN,Intern,Cloud,HTTP,Application software"
Associate Cloud Operations Engineer 1,Powerschool India,3.7,2-6 Yrs,Not disclosed,"Chennai, Bengaluru","         A Cloud Operations engineer is responsible for designing, deploying, managing,...","Cloud computing,Automation,Operating systems,Customer support,Management,AWS,Monitoring,Recruitment"
Application Developer: Microsoft Cloud,IBM,4.1,3-7 Yrs,Not disclosed,Bengaluru,Required Technical and Professional Expertise . SQL Preferred Technical and Professiona...,"api gateway,microsoft azure,application development,data bricks,java,kubernetes,python,microservices"
Cloud Computing Trainer & Developer,Skynet Secure,3.2,2-5 Yrs,Not disclosed,Mumbai,Work as a consultant or solution architect in cloud and virtualization infrastucture de...,"Computer science,VMware,Cloud computing,Linux,PAAS,citrix xenapp,google app engine,Windows"
Cloud Engineer - C,Capgemini,3.8,3-6 Yrs,Not disclosed,Mumbai,"Managing a dynamically scalable, available, faulttolerant, and reliable applications on...","Cloud Engineering,kubernetes,continuous integration,python,vmware,microsoft azure,cloud platforms,networking"
Cloud Software Engineer,Ford,4.5,1-5 Yrs,Not disclosed,Chennai,Stay current on the latest technology and contribute to the technical direction of the ...,"Cloud computing,GCP,TDD,Application programming,Integration testing,Cloud,test driven development,JSON"
Application Developer: Microsoft Cloud,IBM,4.1,3-7 Yrs,Not disclosed,Bengaluru,Required Technical and Professional Expertise . SQL Preferred Technical and Professiona...,"api gateway,microsoft azure,data bricks,java,agile,kubernetes,python,microservices"
Application Architect,Accenture,4.0,12-17 Yrs,Not disclosed,Chennai,Project Role :Application ArchitectProject Role Description :Provide functional and/or ...,"microsoft azure,docker,terraform,aws,cloud computing,c#,kubernetes,technical leadership"
