job_title,company_name,rating,experience,salary,location,job_description,skills
Content Creator & Writer,Discover Resorts,4.3,2-7 Yrs,4-6 Lacs PA,Pune(Baner),"Bachelors degree in Media, Journalism, English, Marketing, or related field (preferred)...","Content Creation,Creative Writing,Social Media Content Marketing,Graphic Designing,SEO Writing,Project Management,Proof Reading,Social media"
AI Multimedia Creator / AI Designer / AI Content Generation Specialist,Ultra Media and Entertainment,3.4,0-3 Yrs,2.25-5 Lacs PA,Mumbai(Andheri West),Roles and ResponsibilitiesDevelop creative concepts for multimedia projects using AI to...,"Designer,Content Creation,AI Content Creation,Artificial Intelligence,Multimedia,Design,Content Generation,Generation"
Content Creator / Writer,SafEarth Renewables ,4.8,2-7 Yrs,3.5-6 Lacs PA,"New Delhi(Okhla), Bengaluru(Koramangala), Delhi / NCR",. Bachelors Degree in Mass Communication or relevant field Preferred candidate profile ...,"Content Writing,Content Creation,Blogs,Content Marketing,Articles,Proof Reading,Blog Writing,communications"
Content Creator/Writer,Starclinch,4.5,1-3 Yrs,Not disclosed,New Delhi,"Proven work experience as a Content Creator, Copywriter, or similar roleExperience crea...","Publishing,Networking,Relationship building,Social media,Doctor,Cost,Monitoring,Content creation"
Content Creators / Writers,Marvist Consulting Pvt Ltd,None,2-7 Yrs,Not disclosed,Hyderabad,"Writing material should be informative, useful, and quickly written Should structure co...","Content Creators / Writers,Content writing,Content creation,Writing,Content"
Content Creator,Credohire,None,0-3 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Bachelors degree in Marketing, Communication, or related fieldWe always strive for the ...","digital marketing,copy writing,writing,cms,media,content management,communication skills,content creation"
Content Creator & Content Manager,WerIndia.com,None,1-4 Yrs,Not disclosed,"Mohali, Chandigarh","This is a part-time position, one can work from anywhere - at least 3 hours per day or ...","Sales,Web technologies,Intern,sponsorship sales,Social media,Wordpress,Manager Technology,Appeals"
Junior Content Creator,Swiggy,3.8,0-1 Yrs,Not disclosed,Pune,iPhone 12 or above is preferredProven videography experience with a strong portfolio of...,"POP,Storyboarding,Publishing,Videography,Brand marketing,Conceptualization,Manager Technology,UPS"
Content Creator,Buddys Infotech,None,0-3 Yrs,Not disclosed,New Delhi,This position is only open to individuals who work from the office and reside in DelhiM...,"Content strategy,Media management,Social marketing,digital content,Social media,Scheduling,content marketing,Digital marketing"
Content Creator,Magicbox Publications,None,05 Nov - 09 Nov,1.5-3 Lacs PA,Chennai(Vadapalani +4),"Roles and ResponsibilitiesDevelop high-quality content for various platforms, including...","Social,Social Media Content,Social media,Content creation,Media,Content"
Visual Content Creator & Graphic Designer Intern,ShilpaAhuja.com,None,No fixed duration,Unpaid,Chennai,None,
Content Creator,Vtail Commerce,1.4,0-2 Yrs,Not disclosed,"Madurai, Tiruppur, Salem, Chennai, Tiruchirapalli, Coimbatore", Join us as a Marketplace Executive to lead strategic initiatives and drive growth on v...,"Executive,Sales,Shaping,Content,Content creation"
Content Creator - Learning Management Systems,Infosearch Bpo Services,4.1,0-2 Yrs,Not disclosed,Chennai,. Utilise various multimedia tools to create high-quality videos and visual content tha...,"BPO,Corporate training,LMS,Management systems,Instructional design,Project management,HR,Training and Development"
Junior Content Creator,Swiggy,3.8,0-1 Yrs,Not disclosed,New Delhi,iPhone 12 or above is preferredProven videography experience with a strong portfolio of...,"POP,Storyboarding,Videography,Brand marketing,Conceptualization,Manager Technology,UPS,Marketing"
Content Creator,Navneet Education,4.5,0-2 Yrs,1.25-2.5 Lacs PA,Ahmedabad,1.Create high-quality multimedia content for blogs & social media 2.Manage social media...,"Content Development,Social Media Content,Content Strategy,Video Editing,Social media,Editing,Video,Content"
Content Writers / Content Creators & Curators,WerIndia.com,None,1-3 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Please let us know what interests and attracts you to this job and our website. Freelan...,"Graphics,SIDE,Social media,Manager Technology,Research,Technology,Media,Management"
Marketing Intern Social Media Content Creator (Live Entertainment),Lamc Productions,None,0-1 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","LAMC Productions is a dynamic and innovative leader in the live entertainment industry,...","digital marketing,adobe creative suitevideo editing,writing,graphic design softwareediting software,content creation,Design,Social media,Software"
Content Creator,Soupherb,None,0-3 Yrs,Not disclosed,Mumbai,"  Writing, reviewing, editing, and updating content for company websites, blogs, market...","digital marketing,content editing,photoshop,media,advertising,research,content creation,editing"
Content Creator / Live Streamer,Project Starscape Pvt Ltd,None,0 Yrs,1.25-6 Lacs PA,Remote,No prior experience requiredjust bring your enthusiasm and creativity. . As part of our...,"Creativity,consistency in streaming,time management,audience engagement,adaptability,knowledge of Moj,YouTube,content planning"
CONTENT CREATOR,Kilonewtons,None,0-3 Yrs,Not disclosed,Mumbai,"To be successful in this role, you should have experience with digital publishing and g...","Content management,Publishing,PDF,Web technologies,Time management,Management systems,Social media,Wordpress"
Content Creator & Writer,Discover Resorts,4.3,2-7 Yrs,4-6 Lacs PA,Pune(Baner),"Bachelors degree in Media, Journalism, English, Marketing, or related field (preferred)...","Content Creation,Creative Writing,Social Media Content Marketing,Graphic Designing,SEO Writing,Project Management,Proof Reading,Social media"
AI Multimedia Creator / AI Designer / AI Content Generation Specialist,Ultra Media and Entertainment,3.4,0-3 Yrs,2.25-5 Lacs PA,Mumbai(Andheri West),Roles and ResponsibilitiesDevelop creative concepts for multimedia projects using AI to...,"Designer,Content Creation,AI Content Creation,Artificial Intelligence,Multimedia,Design,Content Generation,Generation"
