job_title,company_name,rating,experience,salary,location,job_description,skills
Marketing Executive,Invoscape,None,0-1 Yrs,Not disclosed,Chennai,Invoscape is looking for Marketing Executive to join our dynamic team and embark on a r...,"visualforce,branding,sfdc,business development,advertising,triggers,tracking,dashboards"
Marketing Executive,Educare Knowledge India,None,0-3 Yrs,Not disclosed,"Chandigarh, New Delhi", To promote and market Educare books in CBSE/ICSE/State-Board affiliated public and con...,"channel sales,branding,direct marketing,distributor sales,business development,retail sales,advertising,sales"
"Marketing Manager, Marketing Executive",Taiyo Labs,None,0-2 Yrs,3-5 Lacs PA,"Rayagada, Visakhapatnam(Balayya Sastri Layout +3)","Job Title: Marketing HeadQualification: BSC/ BBA / MBA/ PHARMASalary Range: 25, 000 - 5...","Marketing,Promotions,Sales And Marketing,Events,Field Marketing,Branding,Marketing management,Management"
Marketing Executive,Easytransfer India,None,0-5 Yrs,3-8 Lacs PA,"Hybrid - Kolkata, Ahmedabad, Chennai","Whether you are a fresher or have 1-2 years of experience, we provide comprehensive tra...","Lead Generation,Field Marketing,Business Development,Student Counseling,Educational Marketing,Student Engagement,Payment Solutions,Cold Calling"
Website developer cum Digital Marketing Executive,Sun Digital Marketing,None,0-1 Yrs,1.25-1.5 Lacs PA,Thane,Female candidate in Thane /nearby). Graduate in Computer Science or equivalent. Preferr...,"Digital Marketing,Wordpress Development,Social Media Marketing,Media,Wordpress,Web technologies,Social media,Digital"
Marketing Executive,Callerdesk,None,0-2 Yrs,Not disclosed,Noida,At least 2 years experience in marketing. Strong knowledge of the market,"digital marketing,customer relationship,branding,business development,media,advertising,research,sales"
MARKETING EXECUTIVE,Real Academy,4.6,0-2 Yrs,Not disclosed,Mumbai,Looking forward to people who have good convincing skills & are passionate about the sk...,"visualforce,branding,sfdc,business development,advertising,triggers,tracking,dashboards"
Marketing Executive,Spotmies,None,0-2 Yrs,Not disclosed,Visakhapatnam,"   Primary skills:Market research, strategic planning, digital marketing, content creat...","Analytical skills,Lead generation,Marketing campaigns,Strategic planning,Market research,Brand awareness,Digital marketing,Marketing Executive"
Brand Marketing Executive,MALABAR GOLD & DIAMONDS,4.2,2-3 Yrs,4.5-7 Lacs PA,Mumbai (All Areas)(Andheri MIDC),Company Name: Malabar Gold & Diamonds. Exp Required: 2-3 Years - Brand Marketing. Job L...,"Brand Marketing,Brand Communication,Brand Positioning,Marketing Communication,Positioning,Branding,Marketing,Brand"
Marketing Executive,Deepam Hospital,3.9,0-5 Yrs,2.25-4.5 Lacs PA,Chennai(Thiruvallur +2),Immediate joiners are preferredMonitor and respond to patient feedback online. Desired ...,"Sales And Marketing,Corporate Marketing,Hospital Marketing,Healthcare Marketing,Sales,Marketing,Hospital,Corporate"
Sales And Marketing Executive,Global Career Academy,5.0,23 Oct - 01 Nov,1.5-3.5 Lacs PA,Bengaluru,"Roles and ResponsibilitiesCreate engaging content for social media platforms, including...","Sales And Business Development,Marketing Strategy,Creative Skills,Marketing Research,Sale conversion ratio,Marketing Management,Advertising Management,Social Media Marketing"
Marketing & Sales Executive,Bevel Trading  Marketing,2.9,0-3 Yrs,1.25-3 Lacs PA,Kolkata,Role & responsibilities: Conducting market research to identify selling possibilities a...,"Communication Skills,Sales And Marketing,Sales,Marketing,Sales executive activities"
Marketing Executive,Bayu Healthcare,1.7,0-1 Yrs,Not disclosed,"Mirzapur, Prayagraj, Jaunpur","1. Right Customer Identification 2. Visiting To Doctors 3. Visiting Pharmacies, collect...","marketing,branding,Collection,Online Reporting,Marketing Executive,sales,Collections,Reporting"
Marketing Executive,Admire Tech Vision Llp,4.2,0-1 Yrs,Not disclosed,Mumbai,Admire Tech Vision LLP is looking for Marketing Executive to join our dynamic team and ...,"visualforce,branding,sfdc,advertising,triggers,tracking,dashboards,research"
Marketing Executive,JP Software Technologies,4.1,0-2 Yrs,Not disclosed,Varanasi,JP Software Technologies is looking for Marketing Executive to join our dynamic team an...,"visualforce,branding,sfdc,business development,advertising,triggers,tracking,dashboards"
