job_title,company_name,rating,experience,salary,location,job_description,skills
"Data Analyst - Python, SQL - 5+ yrs",MNC Group,None,5-10 Yrs,15-30 Lacs PA,"Hybrid - Pune(Kharadi +1), Chennai(Chromepet +5)",. ****** Looking for SHORT JOINERS ****** . : . Atleast 3+ yrs of STRONG EXP in PYTHON ...,"SQL Development,SQL Queries,Data Analyst,Python Development,Python,ETL Tool,Data analysis,Data"
Python Software Developer,Infosys,3.8,4-6 Yrs,Not disclosed,"Hybrid - Pune, Chennai, Bengaluru","Experience working on Agile is preferredExperience in Automation, Programming skills in...","Python Development,Pyspark,Big Data,Spark,Software,Development,Software development,Data"
Python Developer,Cognizant,3.8,4-9 Yrs,Not disclosed,"Hybrid - Pune, Chennai, Bengaluru",Ex- employee of cognizant(yes / no): . Will be validating the response and proceed it a...,"Aws Lambda,Bigquery,SQL,AWS,Python,Development,Python Development,Lambda Expressions"
Python Developer/ Data Engineer,Chargeback Gurus,4.1,1-3 Yrs,Not disclosed,Chennai(Guindy Institutional Area),Preferred candidate profile . In-depth knowledge of the Python software development sta...,"Etl Process,SQL Queries,Framework,Python,Data Transformation,Data Engineering,Data Manipulation,Data Extraction"
Python Automation Developer,Capgemini,3.8,2-4 Yrs,Not disclosed,Chennai,Good knowledge in Python development Good experience in Automotive Domain . Primary Ski...,"python,artificial intelligence,gen,automation tools,selenium,c++,c,oracle"
Senior Python Developer,Colan Infotech,3.9,6-11 Yrs,6-15 Lacs PA,"Chennai, Bengaluru",Secondary Skills: Preferred Skills - HTML - CSS - JavaScript - DockerExperience: 6+ Yea...,"Django,Python,Django Rest Api,Django Framework,FastAPI,ORMS,AWS,Flask"
Senior Python Developer,Next Sphere Technologies,4.0,3-6 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Join the Grid Dynamics team, contributing to the development and evolution of internal ...","Data migration,Backend,Version control,Data management,Postgresql,Machine learning,Data structures,System design"
Urgent Opening For Python Developer,MSys Technologies,3.9,4-9 Yrs,14-24 Lacs PA,"Hybrid - Pune, Chennai, Bengaluru","Preferred candidate profile Experience with relational databases (e.g., PostgreSQL, MyS...","Python,django,rest api,flask,API,Rest,Development"
Python Software Developer,Eagle Software India,3.2,23 Oct - 25 Oct,Not disclosed,Chennai,Should have hands on experience in python,"Django,Image Processing,Pandas,Software,Processing,Python,Development,Software development"
Senior Python Developer,Leading Client,None,5-9 Yrs,Not disclosed,"Pune, Chennai, Bangalore/Bengaluru","Key Responsibilities:Software Development: Design, develop, and maintain high-quality P...","Python,Tensorflow,Django,Pandas,Pytest,Robot Framework,Python Software Developer,Senior"
Software Developer -  Java with Python,IBM,4.1,3-6 Yrs,Not disclosed,Kochi,"Preferred Technical and Professional Expertise . OpenShift, Kubernetes and DockerRequir...","react.js,java,html,software development,8d,kubernetes,css,ui development"
Full Stack Python Developer,Dataterrain India,4.2,3-7 Yrs,Not disclosed,Hybrid - Chennai,Bachelors degree in Computer Science or Proven experience as a Python Developer. Strong...,"Django,Api Integration,Python,Stack,Full Stack,API,Integration,Development"
Senior Python Developer,Droidal,2.5,4-7 Yrs,Not disclosed,"Chennai, Coimbatore","Bachelor s or Master s degree in Computer Science, Engineering, or a related field. . E...","Automation,Front end,Coding,Django,Analytical,Healthcare,HTML,Python"
Senior Python Developer,Siemens,4.1,0-8 Yrs,Not disclosed,Bengaluru,Experience with developing and deploying web applications on the cloud with solid under...,"Front end,Application programming,Agile,Siemens,Healthcare,Data processing,Scrum,Technical documentation"
Python Developer,Middleware Systems Technologies,None,5-8 Yrs,Not disclosed,"Hybrid - Hyderabad, Bangalore Rural, Chennai",Required Qualifications Proven experience as a Python Developer or similar role Experie...,"Pyspark,Python Development,SQL,Django,oops,API,Python,Development"
Python Developer,Prodapt Solutions,3.7,3-8 Yrs,7-17 Lacs PA,"Hybrid - Hyderabad, Chennai, Bengaluru",Required Skills & Experience : . Experience : 6+ years of experience in NMS / EMS devel...,"Python Development,Python,Python Testing,Angular,Software testing,Development"
Hiring | Python Software Developer | Global MNC,Global MNC,None,8-12 Yrs,Not disclosed,"Chennai, Coimbatore, Bengaluru",Educational Qualification : Minimum 15 years full time of education Engineering Graduat...,"Python,Logistic Regression,Decision Tree,Power Bi,SVM,Tableau,Machine Learning,Ml Algorithms"
Python Developer  || Python + Git,4Bell Technology,None,4-9 Yrs,Not disclosed,"Hyderabad, Chennai, Bengaluru","Experience in building, launching, and maintaining SaaS productsBS / MS in Computer Sci...","Python,AngularJS,Web API,Gi,Full Stack,Redis,Azure and  GCP,react"
Senior Data Engineer (Python & AWS),kezan,None,8-10 Yrs,10-20 Lacs PA,Chennai(Guindy),Experience in building data lakes and managing delta tablesThe ideal candidate will hav...,"Data Engineering,AWS,Python,Data,Engineering,Senior"
Python API Backend Developer,LanceSoft Technologies,None,5-10 Yrs,Not disclosed,Chennai,USA Client support required (may need to work up to 10 PM sometimes) Skills Required: ....,"Rest API,AWS,Python,Django,Pandas,Numpy,Flask,Backend"
Python Software Developer,.,None,5-8 Yrs,9-12 Lacs PA,"Hybrid - Chennai, Coimbatore, Bengaluru","Project Role Description : Lead the effort to design, build and configure applications,...","python,Django,Pandas,Tableau,Python Development,Numpy,Flask,Software"
Python Software Developer,Infosys,3.8,3-8 Yrs,Not disclosed,"Hybrid - Hyderabad, Pune, Bengaluru","and build POCs. You will create requirement specifications from the business needs, def...","python,Python Framework,Django,Python Development,Software,Framework,Development,Software development"
Python Developer,Wipro,3.7,3-5 Yrs,Not disclosed,"Hyderabad, Bengaluru","Customer experience, completion of assigned certifications for skill upgradation. MIS &...","Python,software development,report generation,MIS,CI/CD,Software,Cd,Generation"
Python Developer Lead,Infosys,3.8,3-8 Yrs,Not disclosed,"Pune, Bengaluru, Mumbai (All Areas)", Hiring Python Developer with experience range 3 years & aboveMandatory Skills: Python ...,"Python Development,Machine Learning,Python,Machine,Development"
Data Engineer - Python/ ETL/ Pyspark/ SQL,4Bell Technology,None,4-9 Yrs,Not disclosed,"Hyderabad, Chennai, Bengaluru","Tech Stack - AWS Big Data Stack Expertise in ETL, SQL, Python and AWS tools like Redshi...","Data Engineering,Pyspark,SSAS,Snowflake,DBT,Data Engineer,ETL,SSIS"
Python Software Developer,Vaisesika Consulting,4.8,5-10 Yrs,Not disclosed,Hybrid - Bengaluru,Proficiency in developing and consuming RESTful APIs and microservices Backend developm...,"rest api,Python,Docker,Django,Pandas,Numpy,Flask,SQL"
Python Developer,Cognizant,3.8,6-9 Yrs,Not disclosed,"Hybrid - Kolkata, Chennai, Coimbatore",Ex- employee of cognizant(yes / no): . Will be validating the response and proceed it a...,"Python Development,Python,Python Data,Development,Data"
Aws Data Engineer with Pyspark/Python,Cognizant,3.8,4-9 Yrs,Not disclosed,"Hybrid - Kochi, Chennai",Ex- employee of cognizant(yes / no): . Will be validating the response and proceed it a...,"Pyspark,AWS,Python,Data"
YASH Technologies is Hiring - Sr. Software Engineer - Python Developer,Yash Technologies,3.8,4-6 Yrs,Not disclosed,Hybrid - Pune,The candidate should be quick learner and keep themselves upgraded with the latest know...,"Linux,Shell Scripting,Openshift,Openshift Development,Software engineering,Software,SR,Python Development"
ESW Application Engineer (Python & Canoe  Developer),Volvo Group,4.1,4-9 Yrs,Not disclosed,Bengaluru,Role & responsibilities :Experience in automation of Embedded Software/Embedded systems...,"OOPS,Python,CAN,Canoe,Application,Can Bus,Development"
Python Software Developer - Chennai,Xoriant,3.9,3-8 Yrs,Not disclosed,Hybrid - Chennai,Educational Qualification: BE / ME/MCA / M TECH with Computer Science Position Descript...,"Linux,Data Structures,OOPS,Python Development,Core Python,Networking Protocols,Algorithms,Object Oriented Programming"
Python AWS Full Stack developer,Shashwath Solution,None,5-8 Yrs,Not disclosed,"Pune, Bengaluru","Python, AWS, DynamoDB, Opensearch Terraform (Good to have), ReactJS, Javascript, Typesc...","Python,CSS,DynamoDB,Opensearch Terraform,HTML,CI CD,ADAS,Automative"
Python Developer,Novosoft Solutions,None,1-4 Yrs,Not disclosed,Chennai,Participate in code reviews to improve overall quality of the software. . Desired Candi...,"Python Framework,Django,Python Development,Linux,Docker,API,Flask,Python"
Junior Python Developer,Cogent Innovations,3.5,1-2 Yrs,2.25-3 Lacs PA,Chennai,Experience : 1 to 2years . Hands on experience in Python Experience in Unicode for Indi...,"Systems Programming,Devops,Python,Programming,System programming,System,Program,Development"
Senior Python Developer ( 4 Years +),Repucom,3.9,1-3 Yrs,Not disclosed,Bengaluru,"Interact with Product, Editorial and Client Experience teams to constantly refine the G...","Unix,C++,Linux,Social media,Data structures,Open source,Automotive,SQL"
Python Senior Developer,Infosys,3.8,3-5 Yrs,Not disclosed,Chennai,"MCA, MSc, Master Of Technology, Master Of Engineering, BCA, BSc, Bachelor Of Technology...","Python,quality processes,project domain,test cases,agile methodologies,performance engineering,SDLC,project estimations"
Python Developer,Genpact,3.9,4-8 Yrs,Not disclosed,"Hybrid - Noida, Gurugram",Uipath/ MS Power Platform Certification will be added advatange  Other Requirements: . ...,"Microsoft Power Automate,Javascript,Python,Microsoft,Python Development,Development"
Python Developer (3yrs of Exp with Max 30days joiner),Tech Mahindra,3.6,3-7 Yrs,10-13 Lacs PA,"Noida, Pune",Preferably a degree or diploma in Computer Science or a similar discipline Prior experi...,"OOPS,Pandas,SQL Queries,Python Development,Numpy,Data Warehousing,Warehouse,Data"
Python Developer,Data Software Research Company (DSRC),3.8,3-5 Yrs,Not disclosed,Hybrid - Chennai,Job descriptionGreetings from DSRC!!!!DSRC provides competitive compensation that is re...,"Typescript,Python,Javascript,Ci/Cd,AWS,RESTFUL,Cd,Python Development"
Sr. Python Backend Developer,Winning Edge,2.5,7-11 Yrs,Not disclosed,Bengaluru,"year (bachelors) degree in computer science, software engineering, or similar fieldPrac...","Python,GenAI,BDD,GitHub,PostgreSQL,unit testing,Fast API,Microservices"
Model N Application developer with Python,Iqvia Biotech,3.9,2-5 Yrs,Not disclosed,"Kochi, Bengaluru",  Designs/develops software solutions requiring general domain knowledge and Overall 6+...,"Unix,Performance tuning,Datastage,Flex,Agile,PLSQL,Healthcare,Informatica"
Junior Python Developer,Edify Technologies,4.3,0-1 Yrs,Not disclosed,"Chennai, Coimbatore","We are ISO (9001, 20000 & 27001) certified and apprised at CMMI (DEV & SVC) Level . Bac...","SQL Database,Devops,Python,Jenkins,Docker,Github,AI,Kafka"
Python Developer - GenAI Expertise,JK Technosoft,3.7,5-7 Yrs,Not disclosed,Bengaluru,"Skills Required: . Bachelors Degree in Statistics, Applied Mathematics, Computer Scienc...","Python,GenAI,object-oriented programming,NLP,PyTorch,ChatGPT,HuggingFace,Large Language Models"
"Senior Data Engineer- AWS , SQL, Python",Winning Edge,2.5,8-12 Yrs,Not disclosed,Bengaluru,"Advanced administration experience with AWS PaaS DB offerings such as RDS, Aurora, Dyna...","Python,RDS,ElastiCache RedShift,S3,AWS CloudFormation,DynamoDB,SQL Server,Redshift"
