job_title,company_name,rating,experience,salary,location,job_description,skills
Software Developer,Synova Innovative Technologies,5.0,1-2 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",UG - Any Graduate - Any Specialization) AND (PG - Post Graduation Not Required) AND ( D...,"IDOCS,LSMW,Ale,BAPIs,ABAP,Software,Software development,Development"
Software Developer,IBM,4.1,5-9 Yrs,Not disclosed,Bengaluru,"Your Role and ResponsibilitiesAs a key member of our dynamic team, you will play a vita...","sql,java,python,software development,javascript,algorithms,css,web application"
Marketing Executive,.,,2-7 Yrs,Not disclosed,Uganda,Experience required . 2-7 yrs with preference of good English communication as he needs...,"Business Proposal,Market Research,Marketing,Research,Proposals"
Cloud Platform Engineer,Accenture,4.0,3-5 Yrs,Not disclosed,Chennai,Minimum 3 year(s) of experience is required. Educational Qualification : 15 years full ...,"project management,performance testing,cloud platform,cloud infrastructure,aws,kubernetes,python,vmware"
Junior Content Creator,Swiggy,3.8,0-1 Yrs,Not disclosed,New Delhi,iPhone 12 or above is preferredProven videography experience with a strong portfolio of...,"POP,Storyboarding,Videography,Brand marketing,Conceptualization,Manager Technology,UPS,Marketing"
Graphic Designer,Kalvi Career Education,,0-5 Yrs,Not disclosed,Bengaluru(HSR Layout),Relevant experience as a graphic designer in marketing or content creationGood understa...,"Graphic Designing,Visualiser,Communication Skills,Time Management,Creative Designing,Effective multi-tasking,Proficiency with desktop design tools,Photoshop"
Test Engineer,Qualitykiosk Technologies,3.5,1-4 Yrs,Not disclosed,"Mumbai, Navi Mumbai",A selenium automation tester must develop new test scripts The selenium tester must pre...,"Automation testing,Test scripts,Selenium,Test cases,Case,Automation,Test engineering,Software testing"
Software Developer,Siemens,4.1,1-5 Yrs,Not disclosed,Hyderabad,"Bachelor, Master, or PhD degree or equivalent experience in Computer or Electrical Engi...","Unix,Automation,Linux,Digital design,SOC,Ethernet,System design,Healthcare"
Full Stack Developer - (ReactJS & Python),DIATOZ Solutions,4.3,3-5 Yrs,Not disclosed,Chennai,We are seeking a talented and motivated Full Stack Developer with 3-5 years of experien...,"SQL queries,Backend,Web technologies,Cloud Services,Automation tools,microsoft azure,Troubleshooting,Information technology"
Test Engineer,Qualitykiosk Technologies,3.5,1-4 Yrs,Not disclosed,"Mumbai, Navi Mumbai",A selenium automation tester must develop new test scripts The selenium tester must pre...,"Automation testing,Test scripts,Selenium,Test cases,Case,Automation,Test engineering,Software testing"
Asst.Marketing Manager,Aswani Industries,4.2,2-5 Yrs,Not disclosed,Surat,Required Qualification : Minimum Graduate Experience : At least 2-5 years experience in...,"Market mapping,Brand activation,Sales,btl activation,Online branding,Vendor Development,Atl,Consumer insights"
Software Developer,Microbi Infotech,,2-6 Yrs,Not disclosed,Bengaluru," Analyzing, designing database structure for the requirements Proposing architecture an...","Performance tuning,MS SQL,Multithreading,Coding,Configuration management,ADO.Net,SSRS,E-governance"
Graphic Designer,Star Knowledge,4.0,0-3 Yrs,Not disclosed,Mysuru,Actively review website / appperformance \u2013 offer recommendations to the marketing ...,"Graphics,Product quality,Health insurance,Backend,UPS,Research,Management,Digital marketing"
Embedded Engineer EE,GT Silicon,,3-8 Yrs,Not disclosed,Kanpur,Must have experience of working with microprocessors & microcontrollers based low power...,"GSM,Bluetooth,development,C,USB,Logic design,GPRS,SPI"
Customer Success Engineer - Embedded Linux,"Qualcomm Technologies, Inc",3.9,1-6 Yrs,Not disclosed,Hyderabad,"  To accomplish this, we use industry standards, open-source technologies, and a new bu...","Computer science,Staffing,Linux kernel,Embedded Linux,Video conferencing,Account management,Open source,Technical support"
Software Developer (Spring),Siemens,4.1,3-5 Yrs,Not disclosed,Chennai,. BE/ BTech in Computer Science . 3+ years of experience in developing software applica...,"Project development,Software development,OOAD,Analytical,Consulting,Siemens,Spring,Application software"
Artificial Intelligence Developer -Freelancer- Support Engineer,Hatigen Consulting Services,,6-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",  Ability to write code in Python / R and other relevant programming languages.   Knowl...,"Cloud computing,Data analysis,Consulting,Agile,Data structures,Healthcare,Scrum,Data mining"
Test Engineer,Wipro,3.7,1-5 Yrs,Not disclosed,"Hyderabad, Bengaluru",Proficient in managing and maintaining different testing KPIsExperience in SAP testing(...,"SAP MM,sap,software testing,sap retail,documentation,test management tool,test execution,process flow"
