,user,job,label
0,"Embedding Specialist Data Science, Text Preprocessing, BERT, Embeddings, TensorFlow, Sentence Transformers, PyTorch, Python Highly skilled Embedding Specialist committed to excellence in Data Science, Text Preprocessing, BERT, Embeddings, TensorFlow, Sentence Transformers, PyTorch, Python.","Senior Embedded Software Engineer embedded systems,C++,C,Software Engineering,embedded solutions,Scrum Development,Agile Development,Python",1
1,"Marketing Content Marketing, Brand Strategy, SEO, Social Media Management, Campaign Management, Market Research, Email Marketing, PPC An enthusiastic Marketing passionate about learning and growing in the tech industry.","Chief Marketing Officer Content Writing,Leadership,Content Marketing,Client Relationship Management,Digital Marketing,Social Media Marketing,Brand Strategy,Content Strategy",1
2,"Backend Developer Python, Ruby, Java, PHP, SQL, Django, RESTful APIs Backend Developer with solid background in Python, Ruby, Java, PHP, SQL, Django, RESTful APIs and extensive experience in Web Development.","Backend Developer Django,Python Development,restapi,Python,Backend,Development,Rest,Backend Development",1
3,"Python Developer Python, Flask, NumPy, SQL, REST APIs, Django, Machine Learning, Pandas An enthusiastic Python Developer passionate about learning and growing in the tech industry.","Executive Marketing Communication Skills,Presentation Skills,Corporate Communication,Public Speaking,Marketing,Corporate,Presentation,Public",0
4,"Python Developer Django, Machine Learning, Git Goal-oriented Python Developer with expertise in Django, Machine Learning, Git.","Python Developer Computer science,GIT,Coding,Django,Artificial Intelligence,OOPS,MySQL,Machine learning",1
5,"Test Engineer API Testing, Postman, TestNG Experienced Test Engineer with a proven track record in delivering high-quality solutions.","Content Creator Social,Social Media Content,Social media,Content creation,Media,Content",0
6,"Software Developer JavaScript, C++, SQL, Node.js, Django, Flask, Git, Java Experienced Software Developer with a proven track record in delivering high-quality solutions.","Branding And Marketing Executive Btl,Promotions,Brand Management,Brand Communication,Marketing Communication,Brand Strategy,Brand,Management",0
7,"Embedding Specialist Sentence Transformers, Text Preprocessing, TensorFlow Innovative Embedding Specialist focused on pushing the boundaries in Machine Learning.",Trainee Embedded Engineer ,1
8,"Python Developer Python, Django, SQL, NumPy, Git, Data Analysis, Machine Learning, Pandas Creative Python Developer who leverages Python, Django, SQL, NumPy, Git, Data Analysis, Machine Learning, Pandas to produce effective results.","Python Software Developer python,Django,Pandas,Tableau,Python Development,Numpy,Flask,Development",1
9,"Test Engineer Python, LoadRunner, JUnit, API Testing, TestNG, Cypress, JUnit, Selenium Highly skilled Test Engineer committed to excellence in Python, LoadRunner, JUnit, API Testing, TestNG, Cypress, JUnit, Selenium.","Assistant Manager Marketing New Client Acquisition,Marketing Campaigns,Brand Marketing,Brand Campaigns,Branding,Marketing management,Client,Client acquisition",0
10,"Python Developer Machine Learning, Flask, SQL Experienced Python Developer with a proven track record in delivering high-quality solutions.","Python Developer Lead Django,Api Integration,OpenAI,Python,Flask,Artificial Intelligence,Postgresql,DBMS",1
11,"Content Creator SEO, Email Marketing, Content Writing, Blogging, Copywriting Experienced Content Creator with a proven track record in delivering high-quality solutions.","Content Creator & Writer Content Creation,Creative Writing,Social Media Content Marketing,Graphic Designing,SEO Writing,Project Management,Proof Reading,Social media",1
12,"Software Developer Django, React, SQL Goal-oriented Software Developer with expertise in Django, React, SQL.","IT Engineer / Software Developer Front end,Postgresql,Django,MySQL,Javascript,Database,Computer application,SQL",1
13,"Test Engineer Python, JUnit, Cypress, API Testing, LoadRunner Goal-oriented Test Engineer with expertise in Python, JUnit, Cypress, API Testing, LoadRunner.","Test Engineer job opening  For Multiple testing skills Automation Testing,Performance Testing,Python Testing,API Testing,Mobile Testing,Appium,Selenium Automation,DWH Testing",1
14,"Test Engineer TestNG, JUnit, API Testing, Java, JUnit, Cypress, Selenium Test Engineer with solid background in TestNG, JUnit, API Testing, Java, JUnit, Cypress, Selenium and extensive experience in Cloud Computing.","Brand Marketing Executive Brand Marketing,Brand Communication,Brand Positioning,Marketing Communication,Positioning,Branding,Marketing,Brand",0
15,"Software Developer Node.js, React, Python, Java, SQL, JavaScript, C++, Git Experienced Software Developer with a proven track record in delivering high-quality solutions.","Software Developer Typescript,Javascript,Node.Js,React.Js,Java,Automation Testing,Software testing,Software",1
16,"Java Developer Multithreading, SQL, Hibernate Creative Java Developer who leverages Multithreading, SQL, Hibernate to produce effective results.","Java Developer Java,Hibernate,SQL Database,Springboot,Microservices,DBMS,SQL,Java Development",1
17,"Java Developer Maven, Git, REST APIs, Multithreading Java Developer specialized in NLP, with a focus on creating impactful solutions.","Java Developer (5-7 Years) Java,Rest,Multithreading,GIT,Microservices,object design,database,Design",1
18,"Embedding Specialist NLP, Python, TensorFlow, BERT, Sentence Transformers Embedding Specialist specialized in NLP, with a focus on creating impactful solutions.","Walk-in Drive Java Developer -26th Oct 24 Sat @RMZ-Porur Java,Hibernate,Spring Boot,Angular,Kafka,Microservices,Spring,Drives",0
