job_title,company_name,rating,experience,salary,location,job_description,skills
"Marketing Executive - Chandigarh , Panipat , Dehradun",Malani Marbles Pvt. Ltd,4.5,3-5 Yrs,3-4.5 Lacs PA,"Panipat, Chandigarh, Dehradun",Own CONVEYANCE is must. . Interview Venue : Chattarpur (New Delhi). **We are looking fo...,"sales & marketing,communication skills,Marketing,Sales,Sales"
Embedded Software Engineer,Repucom,3.9,0-2 Yrs,Not disclosed,Bengaluru,"Bachelor s degree in computer science, engineering plus 5 years of experience in inform...","Unix,Telecom,C++,Linux,Coding,Shell scripting,Application development,Windows"
Embedded C++ & Linux - Engineer,Volvo Penta,,6-10 Yrs,Not disclosed,Bengaluru,"Develop embedded code in C++ language from software requirement specifications, candida...","RTOS,AUTOSAR,J1939,Linux,Testing tools,Construction equipment,data privacy,embedded software development"
Senior/Principal Backend Developer (Java/J2ee),Oracle,3.7,9-14 Yrs,Not disclosed,Hyderabad,He / She should have minimum experience of 6-20 years in Software Development,"Java,J2Ee,Spring Mvc,Spring Boot,ORM,Spring,Microservices,Bootstrap"
Python Developer,Orangescape Technologies,3.8,0-1 Yrs,Not disclosed,Chennai,". Good knowledge in one or more frameworks like Flask, WSGI(uwsgi), Web Application dev...","Web application development,Cloud,Design development,MongoDB,G2G,AWS,SQL,Python"
Cloud Platform Engineer,Accenture,4.0,3-5 Yrs,Not disclosed,Chennai,Minimum 3 year(s) of experience is required. Educational Qualification : 15 years full ...,"performance testing,microsoft azure,data modeling,cloud applications,aws,kubernetes,python,vmware"
Java Full Stack Developer,Tech Mahindra,3.6,5-10 Yrs,Not disclosed,"Pune, Chennai, Bengaluru"," Dear Candidate, We have urgent positions to fulfill for Java full stack Developer- Pun...","Reacts Js,Java,Restfui Web Services,Spring Boot,Microservices,Oracle SQL,Javascript,SQL"
Python Developer,Foosilz,,3-5 Yrs,Not disclosed,Bengaluru,"Bachelor s degree in computer science, computer engineering, or related field Ability t...","SIDE,Backend,Front end,Testing tools,Django,Debugging,Programming,Application software"
Senior Java Developer,Blue Data Consulting And It Services,,7-12 Yrs,Not disclosed,"Noida, Surat",candidate should be proficient in Java programming with a strong command of the SpringR...,"Agile,Java,MySQL,Spring Boot,API,Scrum,Oracle,Senior"
Senior Java Springboot Developer,client- Sapwood Ventures ,,5-8 Yrs,Not disclosed,Hyderabad,Role & responsibilities  Develop application logic for a multi-component system of appl...,"java,J2Ee,Spring Boot,Spring,Hibernate,JUnit,Gtest,linux"
Embedded Firmware Engineer,Boatload Minds,3.7,3-6 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",             Embedded Firmware Engineer      Skills Required   ? Proficient in C and C+...,"RTOS,Embedded C,C++,Embedded systems,Operating systems,Kernel programming,Data structures,Firmware"
Full Stack Developer - (ReactJS & Python),DIATOZ Solutions,4.3,3-5 Yrs,Not disclosed,Chennai,We are seeking a talented and motivated Full Stack Developer with 3-5 years of experien...,"SQL queries,Backend,Web technologies,Cloud Services,Automation tools,microsoft azure,Troubleshooting,Information technology"
Java/J2EE Developer,Sadup Soft,4.5,5-7 Yrs,Not disclosed,"Hyderabad, Bengaluru",- Seeking an experienced Java/J2EE Developer with a minimum of 5 years in Java and rela...,"Java,Applications Implementation,Javascript,J2EE,Algorithm,Data Structure,Data,Data structures"
Officer - Marketing,Bksteel Industries,,4-5 Yrs,Not disclosed,Chennai,"Required profile: . Prior experience in Sales department, Good knowledge in Computer. .","branding,business development,market research,media,advertising,email campaign,sales,research"
Junior Python Developer,Edify Technologies,4.3,0-1 Yrs,Not disclosed,"Chennai, Coimbatore","We are ISO (9001, 20000 & 27001) certified and apprised at CMMI (DEV & SVC) Level . Bac...","SQL Database,Devops,Python,Jenkins,Docker,Github,AI,Kafka"
Python Developer Lead,Infosys,3.8,3-8 Yrs,Not disclosed,"Pune, Bengaluru, Mumbai (All Areas)", Hiring Python Developer with experience range 3 years & aboveMandatory Skills: Python ...,"Python Development,Machine Learning,Python,Machine,Development"
Solution Architect,Accenture,4.0,18-23 Yrs,Not disclosed,Bengaluru,Minimum . 18 year(s) of experience is required. Educational Qualification : Masters or ...,"project management,software development,technical leadership,enterprise architecture,cloud computing,microsoft azure,presales,sales"
Cloud Migration Engineer,Accenture,4.0,5-10 Yrs,Not disclosed,Bhubaneswar,Project Role :Cloud Migration EngineerProject Role Description :Provides assessment of ...,"commvault,veeam,linux,microsoft windows,cloud infrastructure,dpm,cloud migration,vmware"
Embedded Engineer,Autograde International,3.9,3-8 Yrs,Not disclosed,"Kochi, Bengaluru","• Software development of device drivers (SPI, I2C, CAN, LIN, MEM, Timers, ADC, PWM etc...",",Usage,Testing tools,Ethernet,Integration testing,Test planning,WBS,Device driver development"
Senior Java Developer,Technoxander,4.1,5-10 Yrs,Not disclosed,Remote,"Role & responsibilities  Strong experience in JAVA 8+, microservices architecture, gRPC...","Oauth,Java Development,Spring Security,microservices,Java,Spring Boot,Java Fullstack,Spring"
Application Support Engineer,Accenture,4.0,3-5 Yrs,Not disclosed,Chennai,Project Role :Application Support EngineerProject Role Description :Act as software det...,"microsoft azure,ci/cd,docker,devops,cloud computing,continuous integration,kubernetes,redhat linux"
Marketing Executive,Easytransfer India,,0-5 Yrs,3-8 Lacs PA,"Hybrid - Kolkata, Ahmedabad, Chennai","Whether you are a fresher or have 1-2 years of experience, we provide comprehensive tra...","Lead Generation,Field Marketing,Business Development,Student Counseling,Educational Marketing,Student Engagement,Payment Solutions,Cold Calling"
Software Engineer,Shalom Media,,1-3 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",   We are seeking a passionate and experienced Full Stack Developer to join our team as...,"Cloud computing,continuous integration,Ticketing,Software development methodologies,Agile development,Debugging,Management,CRM"
Python Developer,Imbibe Consultancy Services,4.5,5-8 Yrs,Not disclosed,Bengaluru,Very good understanding of the Linux ecosystem,"Backend,Front end,GIT,Linux,GCP,Django,Machine learning,Test cases"
Python Developer (3yrs of Exp with Max 30days joiner),Tech Mahindra,3.6,3-7 Yrs,10-13 Lacs PA,"Noida, Pune",Preferably a degree or diploma in Computer Science or a similar discipline Prior experi...,"OOPS,Pandas,SQL Queries,Python Development,Numpy,Data Warehousing,Warehouse,Data"
Java Developer,Infosys,3.8,3-8 Yrs,Not disclosed,"Hybrid - Hyderabad, Pune, Bengaluru","and build POCs. You will create requirement specifications from the business needs, def...","java,Java Spring Boot,Spring Boot,Microservices,Spring Mvc,Bootstrap,Boot,Java Development"
